"State","Agency.type","Agency.name","Race","Religion","Sexual.orientation","Ethnicity","Disability","Gender","Gender.Identity","X1st.quarter","X2nd.quarter","X3rd.quarter","X4th.quarter","Population","Total_Complaints"
"Kansas","Cities","Iola",1,0,1,0,0,"0",0,0,2,0,0,5697,2
"Kentucky","Cities","Owensboro",2,0,1,1,0,"0",0,1,2,1,0,58304,4
"California","Cities","San Luis Obispo",1,0,1,0,0,"0",0,0,0,2,0,46095,2
"Massachusetts","Cities","Haverhill",2,1,3,2,0,"0",0,4,2,1,1,62249,8
"California","Cities","Stockton",1,0,1,0,0,"0",0,1,0,0,1,299796,2
"New_York","Cities","Freeport Village",0,0,0,1,0,"0",0,1,0,0,0,43214,1
"Oregon","Cities","Newport",0,0,1,0,0,"0",0,0,1,0,0,10029,1
"Virginia","Cities","Charlottesville",1,0,0,0,0,"0",0,0,1,0,0,44187,1
"Texas","Cities","Corpus Christi",0,0,1,0,0,"0",0,0,0,0,1,314523,1
"Texas","Cities","Marble Falls",1,0,0,0,0,"0",0,0,0,1,0,6095,1
"Ohio","Cities","Austintown",2,0,0,0,0,"0",0,0,1,1,0,36192,2
"Washington","Cities","Tumwater",1,0,0,0,0,"0",0,0,0,0,1,18343,1
"Michigan","Cities","Port Huron",0,0,2,0,0,"0",0,1,0,1,0,29542,2
"Michigan","Cities","Clinton Township",4,0,0,0,0,"0",0,1,2,0,1,98071,4
"Minnesota","Cities","Elk River",1,0,0,0,0,"0",0,0,0,0,1,23351,1
"North_Carolina","Cities","Salisbury",1,0,0,0,0,"0",0,0,0,0,1,33626,1
"Ohio","Universities and Colleges","Kent State University",0,0,1,0,0,"0",0,0,0,1,0,28602,1
"New_York","Cities","Owego Village",0,0,1,0,0,"0",0,0,0,1,0,3818,1
"Florida","Cities","Weston",1,0,0,0,0,"0",0,0,0,0,1,68369,1
"North_Carolina","Cities","Wrightsville Beach",1,0,0,0,0,"0",0,0,1,0,0,2551,1
"Washington","Cities","Oak Harbor",1,0,0,0,0,"0",0,0,0,1,0,22288,1
"New_Jersey","Cities","Lawrence Township, Mercer County",0,0,0,1,0,"0",0,0,0,1,0,33172,1
"Arkansas","Cities","England",1,0,0,0,0,"0",0,0,1,0,0,2806,1
"Massachusetts","Cities","Dover",0,0,1,0,0,"0",0,0,0,1,0,5778,1
"California","Cities","Vista",1,0,1,0,0,"0",0,0,1,0,1,96712,2
"New_York","Cities","Canandaigua",1,0,0,0,0,"0",0,0,1,0,0,10470,1
"Michigan","Cities","Brownstown Township",1,0,0,0,0,"0",0,0,1,0,0,30388,1
"Massachusetts","Cities","Sharon",0,1,0,0,0,"0",0,0,1,0,0,17935,1
"Illinois","Cities","Harvey",1,0,0,0,0,"0",0,0,0,0,1,25408,1
"New_Jersey","Cities","Logan Township",1,0,0,0,0,"0",0,0,0,1,0,6019,1
"Rhode_Island","Cities","West Warwick",0,1,0,0,0,"0",0,0,0,0,1,28817,1
"Massachusetts","Cities","Peabody",0,0,0,2,0,"0",0,0,0,2,0,52178,2
"Maine","Cities","Scarborough",0,0,1,0,0,"0",0,0,1,0,0,19252,1
"New_Jersey","Cities","Trenton",1,0,1,0,0,"0",0,0,1,1,0,84439,2
"New_York","Cities","Croton-on-Hudson Village",0,0,0,0,0,"1",0,0,1,0,0,8180,1
"Ohio","Cities","Cincinnati",9,0,1,5,1,"0",0,4,0,2,10,296491,16
"New_Jersey","Cities","Woolwich Township",1,0,0,0,0,"0",0,0,1,0,0,11167,1
"New_York","Cities","Ramapo Town",0,1,0,0,0,"0",0,0,0,NA,1,87204,1
"Connecticut","Cities","Winchester",2,0,0,0,0,"0",0,2,0,0,0,11019,2
"Pennsylvania","Universities and Colleges","Lehigh University",1,0,0,0,0,"0",0,0,0,0,1,7080,1
"Texas","Cities","Bellmead",2,0,0,0,0,"0",0,0,1,0,1,9950,2
"California","Cities","Ridgecrest",0,0,1,0,0,"0",0,0,1,0,0,28537,1
"California","Cities","Yorba Linda",1,0,0,0,0,"0",0,0,0,0,1,67492,1
"Vermont","Cities","Castleton",0,0,1,0,0,"0",0,0,0,0,1,4649,1
